Time,Open,Close,High,Low,Amount,Volume
2022-04-01 00:00:00,45516.5,45550,45647.6,45360.3,1100.42095449,50117254.317615635
2022-04-01 01:00:00,45550,44927.7,45550,44874,1818.95702677,82176546.570092893
2022-04-01 02:00:00,44927.8,44414.2,45057.1,44233.1,2272.20826845,101560218.762406933
2022-04-01 03:00:00,44410.9,44605.2,44605.2,44293,1033.96219294,45957883.155303026
2022-04-01 04:00:00,44605.2,44650.1,44784.6,44553.6,650.30613383,29047320.1576873
2022-04-01 05:00:00,44650.1,44660.1,44787.7,44589.5,576.05187879,25742048.506359968
2022-04-01 06:00:00,44660,44812.2,44841.5,44577.6,556.80802234,24907973.26358422
2022-04-01 07:00:00,44812.2,45025.7,45107.2,44808.9,934.30919502,41976704.943219741
2022-04-01 08:00:00,45025.7,45138.5,45329.7,45018.4,1052.83240265,47572845.436352494
2022-04-01 09:00:00,45138.6,45085.2,45247.6,44995.6,942.76328778,42547374.226033189
2022-04-01 10:00:00,45085.2,45222.2,45235.9,45027.1,787.85027221,35546786.465581991
2022-04-01 11:00:00,45222.1,45066.5,45274.7,45020.2,848.11070924,38302739.028734903
2022-04-01 12:00:00,45066.5,45239.7,45446.9,44705.4,2053.93045734,92481686.275551773
2022-04-01 13:00:00,45239.6,45429.9,45600,45239.4,1894.29335493,86075207.341205953
2022-04-01 14:00:00,45430,46132.8,46172.7,45417,2145.47480187,98064125.745497778
2022-04-01 15:00:00,46131.8,46526.7,46703,46114.4,3020.44996244,140411447.942034571
2022-04-01 16:00:00,46527.2,46029.2,46583.7,46022.1,1423.60661253,66011648.455021791
2022-04-01 17:00:00,46027.8,46470.3,46540,45904,1343.36865054,62181367.672827987
2022-04-01 18:00:00,46468.2,46330.3,46590.2,46246.1,900.75090586,41794411.37628401
2022-04-01 19:00:00,46330.4,46361.6,46397,46138,1216.86060828,56294768.203475758
2022-04-01 20:00:00,46363.2,46149.7,46384.6,46078.5,703.81281264,32563262.133716373
2022-04-01 21:00:00,46149.7,46306.6,46403.5,46141.9,333.76693659,15444963.827216965
2022-04-01 22:00:00,46306.6,46370.8,46398.3,46160,816.09053519,37782833.80385788
2022-04-01 23:00:00,46370.8,46283.9,46370.9,46122,814.24250213,37650442.793306768
2022-04-02 00:00:00,46283.9,46892,47198,46078,1876.45101363,87303531.035537696
2022-04-02 01:00:00,46891.6,46746.1,47022.9,46506.5,1847.17170684,86384283.458640126
2022-04-02 02:00:00,46746.1,46494,46849.9,46257.1,1418.40366676,66032320.194015315
2022-04-02 03:00:00,46494,46598.5,46598.5,46371.7,682.71315106,31727134.447755128
2022-04-02 04:00:00,46598.5,46537.7,46676.2,46500,707.4227955,32938694.499645575
2022-04-02 05:00:00,46537.7,46542.7,46601.4,46413,725.45937869,33747406.527230503
2022-04-02 06:00:00,46542.7,46638.3,46657.3,46470.2,734.99556023,34210931.716131433
